"tx","ty","tz","r","g","b"
"0.20354","0.73179","0","0.364706","1","0"
"0.213378","0.732008","0","0.364706","1","0"
"0.223216","0.732227","0","0.364706","1","0"
"0.233053","0.732445","0","0.364706","1","0"
"0.242891","0.732663","0","0.364706","1","0"
"0.252728","0.732879","0","0.364706","1","0"
"0.262566","0.733094","0","0.364706","1","0"
"0.272404","0.733305","0","0.364706","1","0"
"0.282173","0.734342","0","0.364706","1","0"
"0.291882","0.735948","0","0.364706","1","0"
"0.301626","0.737237","0","0.364706","1","0"
"0.311466","0.737237","0","0.364706","1","0"
"0.321306","0.737237","0","0.364706","1","0"
"0.331146","0.737237","0","0.364706","1","0"
"0.340986","0.737237","0","0.364706","1","0"
"0.350826","0.737237","0","0.364706","1","0"
"0.360666","0.737237","0","0.364706","1","0"
"0.370506","0.737237","0","0.364706","1","0"
"0.380346","0.737237","0","0.364706","1","0"
"0.390186","0.737237","0","0.364706","1","0"
"0.400026","0.737237","0","0.364706","1","0"
"0.409866","0.737237","0","0.364706","1","0"
"0.419706","0.737237","0","0.364706","1","0"
"0.429546","0.737237","0","0.364706","1","0"
"0.439386","0.737237","0","0.364706","1","0"
"0.449226","0.737237","0","0.364706","1","0"
"0.459066","0.737237","0","0.364706","1","0"
"0.468906","0.737237","0","0.364706","1","0"
"0.478746","0.737237","0","0.364706","1","0"
"0.488586","0.737237","0","0.364706","1","0"
"0.498426","0.737237","0","0.364706","1","0"
"0.508267","0.737237","0","0.364706","1","0"
"0.518106","0.737237","0","0.364706","1","0"
"0.525701","0.734795","0","0.364706","1","0"
"0.526294","0.724973","0","0.364706","1","0"
"0.526755","0.715144","0","0.364706","1","0"
"0.527158","0.705312","0","0.364706","1","0"
"0.527529","0.695479","0","0.364706","1","0"
"0.527875","0.685645","0","0.364706","1","0"
"0.52819","0.675811","0","0.364706","1","0"
"0.528469","0.665974","0","0.364706","1","0"
"0.528744","0.656138","0","0.364706","1","0"
"0.529014","0.646302","0","0.364706","1","0"
"0.529281","0.636466","0","0.364706","1","0"
"0.529544","0.626629","0","0.364706","1","0"
"0.529804","0.616793","0","0.364706","1","0"
"0.530061","0.606956","0","0.364706","1","0"
"0.530316","0.597119","0","0.364706","1","0"
"0.530568","0.587282","0","0.364706","1","0"
"0.530817","0.577446","0","0.364706","1","0"
"0.531063","0.567609","0","0.364706","1","0"
"0.531308","0.557772","0","0.364706","1","0"
"0.531547","0.547935","0","0.364706","1","0"
"0.531777","0.538097","0","0.364706","1","0"
"0.532005","0.52826","0","0.364706","1","0"
"0.532232","0.518423","0","0.364706","1","0"
"0.532458","0.508585","0","0.364706","1","0"
"0.532683","0.498748","0","0.364706","1","0"
"0.532906","0.48891","0","0.364706","1","0"
"0.533128","0.479073","0","0.364706","1","0"
"0.533349","0.469235","0","0.364706","1","0"
"0.533569","0.459398","0","0.364706","1","0"
"0.533788","0.44956","0","0.364706","1","0"
"0.534005","0.439723","0","0.364706","1","0"
"0.534221","0.429885","0","0.364706","1","0"
"0.534433","0.420047","0","0.364706","1","0"
"0.534638","0.410209","0","0.364706","1","0"
"0.534841","0.400371","0","0.364706","1","0"
"0.535042","0.390534","0","0.364706","1","0"
"0.535238","0.380695","0","0.364706","1","0"
"0.535429","0.370857","0","0.364706","1","0"
"0.535151","0.361066","0","0.364706","1","0"
"0.532033","0.351737","0","0.364706","1","0"
"0.532189","0.341943","0","0.364706","1","0"
"0.532773","0.332121","0","0.364706","1","0"
"0.533248","0.322292","0","0.364706","1","0"
"0.531593","0.312814","0","0.364706","1","0"
"0.52726","0.303979","0","0.364706","1","0"
"0.522855","0.29518","0","0.364706","1","0"
"0.518448","0.286382","0","0.364706","1","0"
"0.514067","0.277572","0","0.364706","1","0"
"0.509757","0.268726","0","0.364706","1","0"
"0.506926","0.259486","0","0.364706","1","0"
"0.507056","0.249647","0","0.364706","1","0"
"0.507201","0.239808","0","0.364706","1","0"
"0.507352","0.229969","0","0.364706","1","0"
"0.507509","0.220131","0","0.364706","1","0"
"0.50767","0.210292","0","0.364706","1","0"
"0.507831","0.200453","0","0.364706","1","0"
"0.507994","0.190615","0","0.364706","1","0"
"0.508157","0.180776","0","0.364706","1","0"
"0.508321","0.170937","0","0.364706","1","0"
"0.508486","0.161099","0","0.364706","1","0"
"0.508651","0.15126","0","0.364706","1","0"
"0.508819","0.141422","0","0.364706","1","0"
"0.508987","0.131583","0","0.364706","1","0"
"0.509157","0.121744","0","0.364706","1","0"
"0.509327","0.111906","0","0.364706","1","0"
"0.509498","0.102067","0","0.364706","1","0"
"0.509669","0.0922289","0","0.364706","1","0"
"0.509841","0.0823904","0","0.364706","1","0"
"0.510014","0.0725519","0","0.364706","1","0"
"0.510191","0.0627135","0","0.364706","1","0"
"0.510373","0.0528752","0","0.364706","1","0"
"0.51056","0.043037","0","0.364706","1","0"
"0.510763","0.033199","0","0.364706","1","0"
"0.539313","0.366187","0","1","0.545098","0"
"0.529474","0.36604","0","1","0.545098","0"
"0.519635","0.365894","0","1","0.545098","0"
"0.509796","0.365747","0","1","0.545098","0"
"0.499957","0.3656","0","1","0.545098","0"
"0.490118","0.365453","0","1","0.545098","0"
"0.480279","0.365306","0","1","0.545098","0"
"0.47044","0.365159","0","1","0.545098","0"
"0.460601","0.365013","0","1","0.545098","0"
"0.450762","0.364866","0","1","0.545098","0"
"0.440924","0.364719","0","1","0.545098","0"
"0.431085","0.364572","0","1","0.545098","0"
"0.421246","0.364425","0","1","0.545098","0"
"0.411407","0.364278","0","1","0.545098","0"
"0.401568","0.364131","0","1","0.545098","0"
"0.391729","0.363985","0","1","0.545098","0"
"0.38189","0.363838","0","1","0.545098","0"
"0.372051","0.363691","0","1","0.545098","0"
"0.362212","0.363544","0","1","0.545098","0"
"0.352373","0.363397","0","1","0.545098","0"
"0.342534","0.36325","0","1","0.545098","0"
"0.332696","0.363103","0","1","0.545098","0"
"0.322857","0.362957","0","1","0.545098","0"
"0.313018","0.36281","0","1","0.545098","0"
"0.303179","0.362663","0","1","0.545098","0"
"0.29334","0.362516","0","1","0.545098","0"
"0.290005","0.369053","0","1","0.545098","0"
"0.289884","0.378892","0","1","0.545098","0"
"0.289763","0.388731","0","1","0.545098","0"
"0.289642","0.398571","0","1","0.545098","0"
"0.28952","0.40841","0","1","0.545098","0"
"0.289399","0.418249","0","1","0.545098","0"
"0.289278","0.428088","0","1","0.545098","0"
"0.289157","0.437928","0","1","0.545098","0"
"0.289036","0.447767","0","1","0.545098","0"
"0.288915","0.457606","0","1","0.545098","0"
"0.288793","0.467445","0","1","0.545098","0"
"0.288672","0.477285","0","1","0.545098","0"
"0.288551","0.487124","0","1","0.545098","0"
"0.28843","0.496963","0","1","0.545098","0"
"0.288309","0.506802","0","1","0.545098","0"
"0.288187","0.516642","0","1","0.545098","0"
"0.288066","0.526481","0","1","0.545098","0"
"0.287945","0.53632","0","1","0.545098","0"
"0.287824","0.546159","0","1","0.545098","0"
"0.287703","0.555999","0","1","0.545098","0"
"0.287582","0.565838","0","1","0.545098","0"
"0.28746","0.575677","0","1","0.545098","0"
"0.287339","0.585516","0","1","0.545098","0"
"0.287218","0.595356","0","1","0.545098","0"
"0.287097","0.605195","0","1","0.545098","0"
"0.286976","0.615034","0","1","0.545098","0"
"0.286855","0.624873","0","1","0.545098","0"
"0.286733","0.634713","0","1","0.545098","0"
"0.286612","0.644552","0","1","0.545098","0"
"0.286491","0.654391","0","1","0.545098","0"
