"tx","ty","tz","r","g","b","a","scale","shape",
"0.152761","0.428536","0.0171511",,,,,,,
"0.277989","0.811028","0.0293126",,,,,,,
"0.163584","0.471908","0.0193637",,,,,,,
"0.430473","0.810681","0.0262303",,,,,,,
"0.154748","0.615868","0.0239109",,,,,,,
"0.142531","0.492502","0.0179294",,,,,,,
"0.187162","0.335132","0.0197147",,,,,,,
"0.629187","0.855546","0.0128786",,,,,,,
"0.198166","0.297673","0.0208591",,,,,,,
"0.171232","0.403376","0.0185397",,,,,,,
"0.16812","0.379615","0.0180514",,,,,,,
"0.501634","0.81966","0.0217288",,,,,,,
"0.45545","0.812892","0.024918",,,,,,,
"0.382619","0.798281","0.0288853",,,,,,,
"0.5311","0.860382","0.0184939",,,,,,,
"0.144378","0.479096","0.0177462",,,,,,,
"0.151905","0.541827","0.0210727",,,,,,,
"0.611048","0.859926","0.013611",,,,,,,
"0.155985","0.766785","0.0228122",,,,,,,
"0.429763","0.809702","0.0263981",,,,,,,
"0.66824","0.689761","0.0151369",,,,,,,
"0.723474","0.839444","0.00877394",,,,,,,
"0.537729","0.855321","0.0181735",,,,,,,
"0.14978","0.584214","0.022446",,,,,,,
"0.732016","0.850424","0.0078584",,,,,,,
"0.34082","0.816962","0.0292821",,,,,,,
"0.524646","0.83939","0.019501",,,,,,,
"0.431967","0.81559","0.0260624",,,,,,,
"0.249606","0.117527","0.0208896",,,,,,,
"0.226837","0.271286","0.0227054",,,,,,,
"0.401194","0.807788","0.0279088",,,,,,,
"0.391827","0.641963","0.0307012",,,,,,,
"0.280669","0.799721","0.0300145",,,,,,,
"0.304927","0.81047","0.0296941",,,,,,,
"0.535245","0.840035","0.0190127",,,,,,,
"0.62523","0.874073","0.0124361",,,,,,,
"0.426973","0.803384","0.0267643",,,,,,,
"0.381909","0.794021","0.0293584",,,,,,,
"0.143399","0.779677","0.0207218",,,,,,,
"0.459091","0.808511","0.0248417",,,,,,,
"0.383557","0.801074","0.0288853",,,,,,,
"0.749798","0.846714","0.00730907",,,,,,,
"0.513962","0.839578","0.0202335",,,,,,,
"0.346116","0.803826","0.0298009",,,,,,,
"0.186264","0.335365","0.0193942",,,,,,,
"0.416032","0.793633","0.0278172",,,,,,,
"0.144598","0.554468","0.0207828",,,,,,,
"0.316931","0.820026","0.0292821",,,,,,,
"0.201343","0.292558","0.0209049",,,,,,,
"0.161546","0.58269","0.0236667",,,,,,,
"0.398769","0.801746","0.0282444",,,,,,,
"0.199805","0.301361","0.0208286",,,,,,,
"0.174194","0.402802","0.0185397",,,,,,,
"0.382695","0.819417","0.0279698",,,,,,,
"0.493633","0.831378","0.0217594",,,,,,,
"0.353709","0.797052","0.0299992",,,,,,,
"0.171294","0.666124","0.0268254",,,,,,,
"0.174631","0.408162","0.0189059",,,,,,,
"0.257595","0.797011","0.0295415",,,,,,,
"0.429057","0.808121","0.0265965",,,,,,,
"0.461839","0.799784","0.0249027",,,,,,,
"0.381467","0.806832","0.0286717",,,,,,,
"0.447936","0.814097","0.0252079",,,,,,,
"0.432898","0.796234","0.0268559",,,,,,,
"0.247305","0.791563","0.0292515",,,,,,,
"0.830342","0.842609","0.00390631",,,,,,,
"0.214676","0.245759","0.0222171",,,,,,,
"0.217523","0.221228","0.0222477",,,,,,,
"0.439641","0.819468","0.0254673",,,,,,,
"0.613821","0.852875","0.0136568",,,,,,,
"0.162738","0.438857","0.0181125",,,,,,,
"0.154623","0.51113","0.0197299",,,,,,,
"0.186613","0.340519","0.0196689",,,,,,,
"0.16504","0.406395","0.0179141",,,,,,,
"0.388992","0.808508","0.0283818",,,,,,,
"0.15902","0.548645","0.0222019",,,,,,,
"0.445901","0.805987","0.0255283",,,,,,,
"0.746292","0.843412","0.00759899",,,,,,,
"0.670633","0.846404","0.0108797",,,,,,,
"0.177453","0.404232","0.0188602",,,,,,,
"0.426999","0.802691","0.0267643",,,,,,,
"0.390633","0.644335","0.0307012",,,,,,,
"0.178599","0.328408","0.0191806",,,,,,,
"0.19528","0.780233","0.0263828",,,,,,,
"0.439741","0.791759","0.026566",,,,,,,
"0.239493","0.128115","0.0211795",,,,,,,
"0.176934","0.327267","0.0189364",,,,,,,
"0.167448","0.348632","0.0181125",,,,,,,
"0.141881","0.51237","0.0186923",,,,,,,
"0.569827","0.875015","0.0155489",,,,,,,
"0.459299","0.800735","0.0251316",,,,,,,
"0.144985","0.528758","0.0197604",,,,,,,
"0.168637","0.436761","0.0187228",,,,,,,
"0.440224","0.79456","0.0264286",,,,,,,
"0.170502","0.669928","0.0264439",,,,,,,
"0.258582","0.152084","0.0225528",,,,,,,
"0.613301","0.447296","0.0148928",,,,,,,
"0.143833","0.472962","0.0176242",,,,,,,
"0.526759","0.839165","0.019501",,,,,,,
"0.292704","0.7975","0.030396",,,,,,,
"0.187943","0.767631","0.026215",,,,,,,
"0.608084","0.85699","0.0138399",,,,,,,
"0.607628","0.446051","0.0151064",,,,,,,
"0.162868","0.462828","0.0191043",,,,,,,
"0.168795","0.748584","0.0250248",,,,,,,
"0.154599","0.68623","0.0246891",,,,,,,
"0.338739","0.817474","0.0293431",,,,,,,
"0.417782","0.805631","0.0271611",,,,,,,
"0.876131","0.862245","0.00151064",,,,,,,
"0.17042","0.37281","0.0180362",,,,,,,
"0.493735","0.817785","0.0222171",,,,,,,
"0.15","0.6489","0.0241093",,,,,,,
"0.171216","0.776099","0.0242313",,,,,,,
"0.395072","0.816124","0.0277104",,,,,,,
"0.243487","0.799607","0.0286564",,,,,,,
"0.313953","0.791612","0.0306706",,,,,,,
"0.253987","0.151342","0.0224613",,,,,,,
"0.167638","0.653225","0.0263218",,,,,,,
"0.390812","0.640393","0.0306401",,,,,,,
"0.155264","0.549604","0.0218204",,,,,,,
"0.431127","0.812307","0.0262303",,,,,,,
"0.358459","0.796078","0.0299077",,,,,,,
"0.151064","0.561599","0.0219425",,,,,,,
"0.180699","0.337823","0.0191043",,,,,,,
"0.229059","0.225418","0.0228122",,,,,,,
"0.518099","0.850549","0.0195163",,,,,,,
"0.408126","0.803184","0.0277256",,,,,,,
"0.242753","0.799332","0.0286564",,,,,,,
"0.150732","0.548819","0.0210269",,,,,,,
"0.224558","0.242197","0.0226291",,,,,,,
"0.156471","0.702927","0.024979",,,,,,,
"0.431288","0.805748","0.0265507",,,,,,,
"0.161509","0.392387","0.0174411",,,,,,,
"0.234657","0.237752","0.0231937",,,,,,,
"0.143945","0.607726","0.0228122",,,,,,,
"0.173121","0.400161","0.0184939",,,,,,,
"0.392424","0.804269","0.0284123",,,,,,,
"0.715291","0.84429","0.00898756",,,,,,,
"0.176048","0.715719","0.0267948",,,,,,,
"0.184126","0.372531","0.0192874",,,,,,,
"0.177234","0.74648","0.0260166",,,,,,,
"0.277379","0.79441","0.0301366",,,,,,,
"0.162859","0.475751","0.0194858",,,,,,,
"0.200003","0.291177","0.0209506",,,,,,,
"0.178596","0.404942","0.0191806",,,,,,,
"0.448701","0.792456","0.0261234",,,,,,,
"0.207259","0.773652","0.0277409",,,,,,,
"0.219577","0.212814","0.0224002",,,,,,,
"0.215375","0.779685","0.0279698",,,,,,,
"0.491812","0.804191","0.0230411",,,,,,,
"0.156926","0.597661","0.0237125",,,,,,,
"0.18349","0.338606","0.0193942",,,,,,,
"0.184886","0.336745","0.0193942",,,,,,,
"0.194769","0.301321","0.0205692",,,,,,,
"0.400718","0.819243","0.0273594",,,,,,,
"0.485759","0.82257","0.0225681",,,,,,,
"0.203776","0.289637","0.0211948",,,,,,,
"0.183818","0.78332","0.0250706",,,,,,,
"0.142551","0.473301","0.0172274",,,,,,,
"0.214165","0.274217","0.022034",,,,,,,
"0.442323","0.80094","0.0260624",,,,,,,
"0.390707","0.642434","0.0307012",,,,,,,
"0.246076","0.801713","0.0288396",,,,,,,
"0.277912","0.806742","0.0295262",,,,,,,
"0.481362","0.801555","0.023682",,,,,,,
"0.463475","0.806059","0.0246128",,,,,,,
